year,variable,desc
2021,concussion,Concussion/Brain Injury
2022,concussion,Concussion/Brain Injury
2016,confident,Confident Ready for School
2017,confident,Confident Ready for School
2018,confident,Confident Ready for School
2019,confident,Confident Ready for School
2020,confident,Confident Ready for School
2021,confident,Confident Ready for School
2020,confirminjury,Concussion/Brain Injury - Confirmed Injury
2021,confirminjury,Concussion/Brain Injury - Confirmed Injury
2022,confirminjury,Concussion/Brain Injury - Confirmed Injury
2016,coordination,Difficulty Coordination
2017,coordination,Difficulty Coordination Past 12 Months
2018,coordination,Difficulty Coordination Past 12 Months
2019,coordination,Difficulty Coordination Past 12 Months
2020,coordination,Difficulty Coordination Past 12 Months
2021,coordination,Difficulty Coordination Past 12 Months
2022,coordination,Difficulty Coordination Past 12 Months
2016,countto,Can Count How High
2017,countto,Can Count How High
2018,countto,Can Count How High
2019,countto,Can Count How High
2020,countto,Can Count How High
2021,countto,Can Count How High
2022,countto_r,Can Count How High
2021,covidarrange,COVID - Closed School or Daycare
2022,covidarrange,COVID - Closed School or Daycare
2021,covidcheckups,COVID - Missed Preventative Check-Ups
2022,covidcheckups,COVID - Missed Preventative Check-Ups
2016,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2017,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2018,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2019,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2020,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2021,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2022,currcov,Health Insurance Coverage - Currently Covered (Use CURRINS)
2016,currins,Health Insurance Coverage - Currently Covered
2017,currins,Health Insurance Coverage - Currently Covered
2018,currins,Health Insurance Coverage - Currently Covered
2019,currins,Health Insurance Coverage - Currently Covered
2020,currins,Health Insurance Coverage - Currently Covered
2021,currins,Health Insurance Coverage - Currently Covered
2022,currins,Health Insurance Coverage - Currently Covered
2016,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2017,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2018,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2019,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2020,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2021,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2022,cuthours,Past 12 Months -Cut Hours because of Health Conditions
2016,cystfib,Cystic Fibrosis
2017,cystfib,Cystic Fibrosis
2018,cystfib,Cystic Fibrosis
2019,cystfib,Cystic Fibrosis
2020,cystfib,Cystic Fibrosis
2021,cystfib,Cystic Fibrosis
2022,cystfib,Cystic Fibrosis
2016,cystfib_curr,Cystic Fibrosis Currently
2017,cystfib_curr,Cystic Fibrosis Currently
2021,cystfib_desc,Cystic Fibrosis Severity Description
2018,cystfib_screen,Cystic Fibrosis Newborn Screening
2020,cystfib_screen,Cystic Fibrosis Newborn Screening
2021,cystfib_screen,Cystic Fibrosis Newborn Screening
2022,cystfib_screen,Cystic Fibrosis Newborn Screening
2016,decisions,Health Care Services Treatment Decisions
2017,decisions,Health Care Decisions Needed
2018,decisions,Health Care Decisions Needed
2019,decisions,Health Care Decisions Needed
2020,decisions,Health Care Decisions Needed
2021,decisions,Health Care Decisions Needed
2022,decisions,Health Care Decisions Needed
2016,dentalserv1,Dental Service - Check-up
2017,dentalserv1,Dental Service - Check-up
2018,dentalserv1,Dental Service - Check-up
2019,dentalserv1,Dental Service - Check-up
2020,dentalserv1,Dental Service - Check-up
2021,dentalserv1,Dental Service - Check-up
2022,dentalserv1,Dental Service - Check-up
2016,dentalserv2,Dental Service - Cleaning
2017,dentalserv2,Dental Service - Cleaning
2018,dentalserv2,Dental Service - Cleaning
2019,dentalserv2,Dental Service - Cleaning
2020,dentalserv2,Dental Service - Cleaning
2021,dentalserv2,Dental Service - Cleaning
2022,dentalserv2,Dental Service - Cleaning
2016,dentalserv3,Dental Service - Instructions on Toothbrushing
2017,dentalserv3,Dental Service - Instructions on Toothbrushing
2018,dentalserv3,Dental Service - Instructions on Toothbrushing
2019,dentalserv3,Dental Service - Instructions on Toothbrushing
2020,dentalserv3,Dental Service - Instructions on Toothbrushing
2021,dentalserv3,Dental Service - Instructions on Toothbrushing
2022,dentalserv3,Dental Service - Instructions on Toothbrushing
2016,dentalserv4,Dental Service - X-Rays
2017,dentalserv4,Dental Service - X-Rays
2018,dentalserv4,Dental Service - X-Rays
2019,dentalserv4,Dental Service - X-Rays
2020,dentalserv4,Dental Service - X-Rays
2021,dentalserv4,Dental Service - X-Rays
2022,dentalserv4,Dental Service - X-Rays
2016,dentalserv5,Dental Service - Fluoride Treatment
2017,dentalserv5,Dental Service - Fluoride Treatment
2018,dentalserv5,Dental Service - Fluoride Treatment
2019,dentalserv5,Dental Service - Fluoride Treatment
2020,dentalserv5,Dental Service - Fluoride Treatment
2021,dentalserv5,Dental Service - Fluoride Treatment
2022,dentalserv5,Dental Service - Fluoride Treatment
2016,dentalserv6,Dental Service - Sealant
2017,dentalserv6,Dental Service - Sealant
2018,dentalserv6,Dental Service - Sealant
2019,dentalserv6,Dental Service - Sealant
2020,dentalserv6,Dental Service - Sealant
2021,dentalserv6,Dental Service - Sealant
2022,dentalserv6,Dental Service - Sealant
2016,dentalserv7,Dental Service - Don't Know
2017,dentalserv7,Dental Service - Don't Know
2018,dentalserv7,Dental Service - Don't Know
2019,dentalserv7,Dental Service - Don't Know
2020,dentalserv7,Dental Service - Don't Know
2021,dentalserv7,Dental Service - Don't Know
2022,dentalserv7,Dental Service - Don't Know
2016,dentistvisit,Dental Provider Visit - How Many Visits
2017,dentistvisit,Preventive Dental Visit - How Many Visits
2018,dentistvisit,Preventive Dental Visit - How Many Visits
2019,dentistvisit,Preventive Dental Visit - How Many Visits
2020,dentistvisit,Preventive Dental Visit - How Many Visits
2021,dentistvisit,Preventive Dental Visit - How Many Visits
2022,dentistvisit,Preventive Dental Visit - How Many Visits
2022,diabetes,Diabetes
2022,diabetes_curr,Diabetes Currently
2022,diabetes_desc,Diabetes Severity Description
2018,directions,Follow Verbal Directions
2019,directions,Follow Verbal Directions
2020,directions,Follow Verbal Directions
2021,directions,Follow Verbal Directions
2022,directions,Follow Verbal Directions
2018,directions2,Follow Two Step Directions
2019,directions2,Follow Two Step Directions
2020,directions2,Follow Two Step Directions
2021,directions2,Follow Two Step Directions
2022,directions2,Follow Two Step Directions
2016,discussopt,How Often - Discussed Range of Options
2017,discussopt,How Often - Provider Discussed Range of Options
2018,discussopt,How Often - Provider Discussed Range of Options
2019,discussopt,How Often - Provider Discussed Range of Options
2020,discussopt,How Often - Provider Discussed Range of Options
2021,discussopt,How Often - Provider Discussed Range of Options
2022,discussopt,How Often - Provider Discussed Range of Options
2016,distracted,How Often - Easily Distracted
2017,distracted,How Often - Easily Distracted
2018,distracted,How Often - Easily Distracted
2019,distracted,How Often - Easily Distracted
2020,distracted,How Often - Easily Distracted
2021,distracted,How Often - Easily Distracted
2022,distracted,How Often - Easily Distracted
2016,docprivate,Child Speak with Doctor Privately
2017,docprivate,Child Spoke with Doctor Privately
2018,docprivate,Child Spoke with Doctor Privately
2019,docprivate,Child Spoke with Doctor Privately
2020,docprivate,Child Spoke with Doctor Privately
2021,docprivate,Child Spoke with Doctor Privately
2022,docprivate,Child Spoke with Doctor Privately
2016,docroom,Doctor Visit - How Long with Doctor
2017,docroom,Preventive Visit - How Long with Doctor
2018,docroom,Preventive Visit - How Long with Doctor
2019,docroom,Preventive Visit - How Long with Doctor
2020,docroom,Preventive Visit - How Long with Doctor
2021,docroom,Preventive Visit - How Long with Doctor
2022,docroom,Preventive Visit - How Long with Doctor
2016,downsyn,Down Syndrome
2017,downsyn,Down Syndrome
2018,downsyn,Down Syndrome
2019,downsyn,Down Syndrome
2020,downsyn,Down Syndrome
2021,downsyn,Down Syndrome
2022,downsyn,Down Syndrome
2016,downsyn_curr,Down Syndrome Currently
2017,downsyn_curr,Down Syndrome Currently
2016,downsyn_desc,Down Syndrome Description
2017,downsyn_desc,Down Syndrome Severity Description
2019,downsyn_desc,Down Syndrome Severity Description
2022,drawacircle,Draw a Circle
2022,drawaface,Draw a Face
2022,drawaperson,Draw a Person
2016,dressing,Difficulty Dressing or Bathing
2017,dressing,Difficulty Dressing or Bathing
2018,dressing,Difficulty Dressing or Bathing
2019,dressing,Difficulty Dressing or Bathing
2020,dressing,Difficulty Dressing or Bathing
2021,dressing,Difficulty Dressing or Bathing
2022,dressing,Difficulty Dressing or Bathing
2022,ebtcards,School Meal Debit 
2016,emosupadv,Emotional Support - Health Condition Support Group
2017,emosupadv,Emotional Support - Health Condition Support Group
2018,emosupadv,Emotional Support - Health Condition Support Group
2019,emosupadv,Emotional Support - Health Condition Support Group
2020,emosupadv,Emotional Support - Health Condition Support Group
2021,emosupadv,Emotional Support - Health Condition Support Group
2022,emosupadv,Emotional Support - Health Condition Support Group
2016,emosupfam,Emotional Support - Other Family or Friend
2017,emosupfam,Emotional Support - Other Family or Friend
2018,emosupfam,Emotional Support - Other Family or Friend
2019,emosupfam,Emotional Support - Other Family or Friend
2020,emosupfam,Emotional Support - Other Family or Friend
2021,emosupfam,Emotional Support - Other Family or Friend
2022,emosupfam,Emotional Support - Other Family or Friend
2016,emosuphcp,Emotional Support - Health Care Provider
2017,emosuphcp,Emotional Support - Health Care Provider
2018,emosuphcp,Emotional Support - Health Care Provider
2019,emosuphcp,Emotional Support - Health Care Provider
2020,emosuphcp,Emotional Support - Health Care Provider
2021,emosuphcp,Emotional Support - Health Care Provider
2022,emosuphcp,Emotional Support - Health Care Provider
2016,emosupmhp,Emotional Support - Counselor
2017,emosupmhp,Emotional Support - Counselor
2018,emosupmhp,Emotional Support - Counselor
2019,emosupmhp,Emotional Support - Counselor
2020,emosupmhp,Emotional Support - Counselor
2021,emosupmhp,Emotional Support - Counselor
2022,emosupmhp,Emotional Support - Counselor
2016,emosupoth,Emotional Support - Other
2017,emosupoth,Emotional Support - Other
2018,emosupoth,Emotional Support - Other
2019,emosupoth,Emotional Support - Other
2020,emosupoth,Emotional Support - Other
2021,emosupoth,Emotional Support - Other
2022,emosupoth,Emotional Support - Other
2016,emosuppeer,Emotional Support - Peer Support Group
2017,emosuppeer,Emotional Support - Peer Support Group
2018,emosuppeer,Emotional Support - Peer Support Group
2019,emosuppeer,Emotional Support - Peer Support Group
2020,emosuppeer,Emotional Support - Peer Support Group
2021,emosuppeer,Emotional Support - Peer Support Group
2022,emosuppeer,Emotional Support - Peer Support Group
2016,emosupspo,Emotional Support - Spouse
2017,emosupspo,Emotional Support - Spouse
2018,emosupspo,Emotional Support - Spouse or Domestic Partner
2019,emosupspo,Emotional Support - Spouse or Domestic Partner
2020,emosupspo,Emotional Support - Spouse or Domestic Partner
2021,emosupspo,Emotional Support - Spouse or Domestic Partner
2022,emosupspo,Emotional Support - Spouse or Domestic Partner
2016,emosupwor,Emotional Support - Place of Worship
2017,emosupwor,Emotional Support - Place of Worship
2018,emosupwor,Emotional Support - Place of Worship
2019,emosupwor,Emotional Support - Place of Worship
2020,emosupwor,Emotional Support - Place of Worship
2021,emosupwor,Emotional Support - Place of Worship
2022,emosupwor,Emotional Support - Place of Worship
2022,engage_binge,Eating Engagement - Binging
2022,engage_exercise,Eating Engagement - Over-Exercise
2022,engage_fast,Eating Engagement - Fasting
2022,engage_interest,Eating Engagement - No Interest
2022,engage_noeat,Eating Engagement - Not Eating
2022,engage_picky,Eating Engagement - Picky
2022,engage_pills,Eating Engagement - Pills
2022,engage_purg,Eating Engagement - Purging
2022,engageconcern,Concerned over Child's Engagement in Eating Behaviors
2016,errandalone,Difficulty Doing Errands Alone
2017,errandalone,Difficulty Doing Errands Alone
2018,errandalone,Difficulty Doing Errands Alone
2019,errandalone,Difficulty Doing Errands Alone
2020,errandalone,Difficulty Doing Errands Alone
2021,errandalone,Difficulty Doing Errands Alone
2022,errandalone,Difficulty Doing Errands Alone
2022,evalfasd,Evaluation for a Fetal Alcohol Spectrum Disorder Recommended
2022,everhomeless,Homeless or Lived in Shelter 
2016,expulsion,Asked To Keep Child Home
2021,eyecare1,Eye Doctor Care - Examination
2022,eyecare1,Eye Doctor Care - Examination
2021,eyecare2,Eye Doctor Care - Corrective Lenses
2022,eyecare2,Eye Doctor Care - Corrective Lenses
2021,eyecare3,Eye Doctor Care - Vision Disorder
2022,eyecare3,Eye Doctor Care - Vision Disorder
2021,eyecare4,Eye Doctor Care - Some other care
2022,eyecare4,Eye Doctor Care - Some other care
2021,eyedoctor,Visition Tested by Eye Doctor
2022,eyedoctor,Visition Tested by Eye Doctor
2016,famcount,Number of People That Are Family Members
2017,famcount,Number of People That Are Family Members
2018,famcount,Number of People That Are Family Members
2019,famcount,Number of People That Are Family Members
2020,famcount,Number of People That Are Family Members
2021,famcount,Number of People That Are Family Members
2022,famcount,Number of People That Are Family Members
2016,family,Family Structure
2017,family_r,Family Structure
2018,family_r,Family Structure
2019,family_r,Family Structure
2020,family_r,Family Structure
2021,family_r,Family Structure
2022,family_r,Family Structure
2022,fasd,Fetal Alcohol Spectrum Disorder (FASD)
2016,fipsst,State FIPS Code
2017,fipsst,State FIPS Code
2018,fipsst,State FIPS Code
2019,fipsst,State FIPS Code
2020,fipsst,State FIPS Code
2021,fipsst,State FIPS Code
2022,fipsst,State FIPS Code
2022,focuson,Focus on a Task
2016,foodsit,Food Situation In Household - Past 12 Months
2017,foodsit,Food Situation In Household - Past 12 Months
2018,foodsit,Food Situation In Household - Past 12 Months
2019,foodsit,Food Situation In Household - Past 12 Months
2020,foodsit,Food Situation In Household - Past 12 Months
2021,foodsit,Food Situation In Household - Past 12 Months
2022,foodsit,Food Situation In Household - Past 12 Months
2016,formtype,Form Type
2017,formtype,Form Type
2018,formtype,Form Type
2019,formtype,Form Type
2020,formtype,Form Type
2021,formtype,Form Type
2022,formtype,Form Type
2016,fpl_i1,"Family Poverty Ratio, First Implicate"
2017,fpl_i1,"Family Poverty Ratio, First Implicate"
2018,fpl_i1,"Family Poverty Ratio, First Implicate"
2019,fpl_i1,"Family Poverty Ratio, First Implicate"
2020,fpl_i1,"Family Poverty Ratio, First Implicate"
2021,fpl_i1,"Family Poverty Ratio, First Implicate"
2022,fpl_i1,"Family Poverty Ratio, First Implicate"
2016,fpl_i2,"Family Poverty Ratio, Second Implicate"
2017,fpl_i2,"Family Poverty Ratio, Second Implicate"
2018,fpl_i2,"Family Poverty Ratio, Second Implicate"
2019,fpl_i2,"Family Poverty Ratio, Second Implicate"
2020,fpl_i2,"Family Poverty Ratio, Second Implicate"
2021,fpl_i2,"Family Poverty Ratio, Second Implicate"
2022,fpl_i2,"Family Poverty Ratio, Second Implicate"
2016,fpl_i3,"Family Poverty Ratio, Third Implicate"
2017,fpl_i3,"Family Poverty Ratio, Third Implicate"
2018,fpl_i3,"Family Poverty Ratio, Third Implicate"
2019,fpl_i3,"Family Poverty Ratio, Third Implicate"
2020,fpl_i3,"Family Poverty Ratio, Third Implicate"
2021,fpl_i3,"Family Poverty Ratio, Third Implicate"
2022,fpl_i3,"Family Poverty Ratio, Third Implicate"
2016,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2017,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2018,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2019,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2020,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2021,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2022,fpl_i4,"Family Poverty Ratio, Fourth Implicate"
2016,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2017,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2018,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2019,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2020,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2021,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2022,fpl_i5,"Family Poverty Ratio, Fifth Implicate"
2016,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2017,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2018,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2019,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2020,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2021,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2022,fpl_i6,"Family Poverty Ratio, Sixth Implicate"
2016,fpl_if,Imputation Flag for FPL
2017,fpl_if,Imputation Flag for FPL
2018,fpl_if,Imputation Flag for FPL
2019,fpl_if,Imputation Flag for FPL
2020,fpl_if,Imputation Flag for FPL
2021,fpl_if,Imputation Flag for FPL
2022,fpl_if,Imputation Flag for FPL
2016,frstformula_day_s,First Fed Formula - Days (Standardized)
2017,frstformula_day_s,First Fed Formula - Days (Standardized)
2018,frstformula_day_s,First Fed Formula - Days (Standardized)
2019,frstformula_day_s,First Fed Formula - Days (Standardized)
2020,frstformula_day_s,First Fed Formula - Days (Standardized)
2021,frstformula_day_s,First Fed Formula - Days (Standardized)
2022,frstformula_day_s,First Fed Formula - Days (Standardized)
2016,frstformula_mo_s,First Fed Formula - Months (Standardized)
2017,frstformula_mo_s,First Fed Formula - Months (Standardized)
2018,frstformula_mo_s,First Fed Formula - Months (Standardized)
2019,frstformula_mo_s,First Fed Formula - Months (Standardized)
2020,frstformula_mo_s,First Fed Formula - Months (Standardized)
2021,frstformula_mo_s,First Fed Formula - Months (Standardized)
2022,frstformula_mo_s,First Fed Formula - Months (Standardized)
2016,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2017,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2018,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2019,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2020,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2021,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2022,frstformula_wk_s,First Fed Formula - Weeks (Standardized)
2016,frstsolids_day_s,First Fed Solids - Days (Standardized)
2017,frstsolids_day_s,First Fed Solids - Days (Standardized)
2018,frstsolids_day_s,First Fed Solids - Days (Standardized)
2019,frstsolids_day_s,First Fed Solids - Days (Standardized)
2020,frstsolids_day_s,First Fed Solids - Days (Standardized)
2021,frstsolids_day_s,First Fed Solids - Days (Standardized)
2022,frstsolids_day_s,First Fed Solids - Days (Standardized)
2016,frstsolids_mo_s,First Fed Solids - Months (Standardized)
2017,frstsolids_mo_s,First Fed Solids - Months (Standardized)
2018,frstsolids_mo_s,First Fed Solids - Months (Standardized)
2019,frstsolids_mo_s,First Fed Solids - Months (Standardized)
2020,frstsolids_mo_s,First Fed Solids - Days (Standardized)
2021,frstsolids_mo_s,First Fed Solids - Days (Standardized)
2022,frstsolids_mo_s,First Fed Solids - Days (Standardized)
2016,frstsolids_wk_s,First Fed Solids - Weeks (Standardized)
2017,frstsolids_wk_s,First Fed Solids - Weeks (Standardized)
2018,frstsolids_wk_s,First Fed Solids - Weeks (Standardized)
2019,frstsolids_wk_s,First Fed Solids - Weeks (Standardized)
2020,frstsolids_wk_s,First Fed Solids - Days (Standardized)
2021,frstsolids_wk_s,First Fed Solids - Days (Standardized)
2022,frstsolids_wk_s,First Fed Solids - Days (Standardized)
2021,fruit,How Many Fruits
2022,fruit,How Many Fruits
2016,fwc,Selected Child Weight
2017,fwc,Selected Child Weight
2018,fwc,Selected Child Weight
2019,fwc,Selected Child Weight
2020,fwc,Selected Child Weight
2021,fwc,Selected Child Weight
2022,fwc,Selected Child Weight
2016,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2017,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2018,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2019,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2020,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2021,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2022,gainskills,Doctor Worked with Child to Gain Skills to Manage Health
2016,genetic,Genetic Condition
2017,genetic,Genetic Condition
2018,genetic,Genetic Condition
2019,genetic,Genetic Condition
2020,genetic,Genetic Condition
2021,genetic,Genetic Condition
2022,genetic,Genetic Condition
2016,genetic_curr,Genetic Condition Currently
2017,genetic_curr,Genetic Condition Currently
2016,genetic_desc,Genetic Condition Description
2017,genetic_desc,Genetic Condition Severity Description
2018,genetic_desc,Genetic Condition Severity Description
2019,genetic_desc,Genetic Condition Severity Description
2020,genetic_desc,Genetic Condition Severity Description
2021,genetic_desc,Genetic Condition Severity Description
2022,genetic_desc,Genetic Condition Severity Description
2018,genetic_screen,Genetic Condition Newborn Screening
2019,genetic_screen,Genetic Condition Newborn Screening
2020,genetic_screen,Genetic Condition Newborn Screening
2021,genetic_screen,Genetic Condition Newborn Screening
2022,genetic_screen,Genetic Condition Newborn Screening
2016,goforhelp,Know Where to Go For Help
2017,goforhelp,Know Where to Go For Help
2018,goforhelp,Know Where to Go For Help
2019,goforhelp,Know Where to Go For Help
2020,goforhelp,Know Where to Go For Help
2021,goforhelp,Know Where to Go For Help
2022,goforhelp,Know Where to Go For Help
2022,grades,Grades Received in School 
2022,groupofobjects,Group of Objects
2016,gumbleed,Difficulty Bleeding Gums
2017,gumbleed,Difficulty Bleeding Gums Past 12 Months
2018,gumbleed,Difficulty Bleeding Gums Past 12 Months
2019,gumbleed,Difficulty Bleeding Gums Past 12 Months
2020,gumbleed,Difficulty Bleeding Gums Past 12 Months
2021,gumbleed,Difficulty Bleeding Gums Past 12 Months
2022,gumbleed,Difficulty Bleeding Gums Past 12 Months
2016,hands,Difficulty Hands
2017,hands,Difficulty Hands Past 12 Months
2018,hands,Difficulty Hands Past 12 Months
2019,hands,Difficulty Hands Past 12 Months
2020,hands,Difficulty Hands Past 12 Months
2021,hands,Difficulty Hands Past 12 Months
2022,hands,Difficulty Hands Past 12 Months
2022,hardwork,How Often - Work even when hard 
2016,hcability,Health Affected Ability - How Often
2017,hcability,Health Affected Ability - How Often
2018,hcability,Health Affected Ability - How Often
2019,hcability,Health Affected Ability - How Often
2020,hcability,Health Affected Ability - How Often
2021,hcability,Health Affected Ability - How Often
2022,hcability,Health Affected Ability - How Often
2016,hccovoth,Health Insurance - Other
2017,hccovoth,Health Insurance - Other
2018,hccovoth,Health Insurance - Other
2019,hccovoth,Health Insurance - Other
2020,hccovoth,Health Insurance - Other
2021,hccovoth,Health Insurance - Other
2022,hccovoth,Health Insurance - Other
2016,hcextent,Health Affected Ability - Extent
2017,hcextent,Health Affected Ability - Extent
2018,hcextent,Health Affected Ability - Extent
2019,hcextent,Health Affected Ability - Extent
2020,hcextent,Health Affected Ability - Extent
2021,hcextent,Health Affected Ability - Extent
2022,hcextent,Health Affected Ability - Extent
2016,headache,Headaches
2017,headache,Headaches
2018,headache,Headaches
2019,headache,Headaches
2020,headache,Headaches
2021,headache,Headaches
2022,headache,Headaches
2016,headache_curr,Headaches Currently
2017,headache_curr,Headaches Currently
2018,headache_curr,Headaches Currently
2019,headache_curr,Headaches Currently
2020,headache_curr,Headaches Currently
2021,headache_curr,Headaches Currently
2022,headache_curr,Headaches Currently
2016,headache_desc,Headaches Description
2017,headache_desc,Headaches Severity Description
2018,headache_desc,Headaches Severity Description
2019,headache_desc,Headaches Severity Description
2020,headache_desc,Headaches Severity Description
2021,headache_desc,Headaches Severity Description
2022,headache_desc,Headaches Severity Description
2016,healthknow,How Child Will Be Insured as an Adult
2017,healthknow,How Child Will Be Insured as an Adult
2018,healthknow,How Child Will Be Insured as an Adult
2019,healthknow,How Child Will Be Insured as an Adult
2020,healthknow,How Child Will Be Insured as an Adult
2021,healthknow,How Child Will Be Insured as an Adult
2022,healthknow,How Child Will Be Insured as an Adult
2016,heart,Heart Condition
2017,heart,Heart Condition
2018,heart,Heart Condition
2019,heart,Heart Condition
2020,heart,Heart Condition
2021,heart,Heart Condition
2022,heart,Heart Condition
2020,heart_born,Heart Born
2021,heart_born,Heart Born
2022,heart_born,Heart Born
2016,heart_curr,Heart Condition Currently
2017,heart_curr,Heart Condition Currently
2018,heart_curr,Heart Condition Currently
2019,heart_curr,Heart Condition Currently
2020,heart_curr,Heart Condition Currently
2021,heart_curr,Heart Condition Currently
2022,heart_curr,Heart Condition Currently
2016,heart_desc,Heart Condition Description
2017,heart_desc,Heart Condition Severity Description
2018,heart_desc,Heart Condition Severity Description
2019,heart_desc,Heart Condition Severity Description
2020,heart_desc,Heart Condition Severity Description
2021,heart_desc,Heart Condition Severity Description
2022,heart_desc,Heart Condition Severity Description
2016,height,Height in CM
2017,height,Height in CM
2018,height,Height in CM
2019,height,Height in CM
2020,height,Height in CM
2021,height,Height in CM
2022,height,HEIGHT
2021,hemophilia,Blood Disorder Hemophilia
2022,hemophilia,Blood Disorder Hemophilia
2016,hhcount,Number of People Living at Address
2017,hhcount,Number of People Living at Address
2018,hhcount,Number of People Living at Address
2019,hhcount,Number of People Living at Address
2020,hhcount,Number of People Living at Address
2021,hhcount,Number of People Living at Address
2022,hhcount,Number of People Living at Address
2017,hhcount_if,Imputation Flag for HHCOUNT
2018,hhcount_if,Imputation Flag for HHCOUNT
2019,hhcount_if,Imputation Flag for HHCOUNT
2020,hhcount_if,Imputation Flag for HHCOUNT
2021,hhcount_if,Imputation Flag for HHCOUNT
2022,hhcount_if,Imputation Flag for HHCOUNT
2016,hhid,Unique HH ID
2017,hhid,Unique Household ID
2018,hhid,Unique Household ID
2019,hhid,Unique Household ID
2020,hhid,Unique Household ID
2021,hhid,Unique Household ID
2022,hhid,Unique Household ID
2016,hhlanguage,Primary HH Language
2017,hhlanguage,Primary Household Language
2018,hhlanguage,Primary Household Language
2019,hhlanguage,Primary Household Language
2020,hhlanguage,Primary Household Language
2021,hhlanguage,Primary Household Language
2022,hhlanguage,Primary Household Language
2016,hhsize_i,Number of People Living at Address (Recode)
2016,hhsize_if,Imputation Flag for HHSIZE_I
2016,higrade,Highest Level of Education among Reported Adults
2017,higrade,Highest Level of Education among Reported Adults
2018,higrade,Highest Level of Education among Reported Adults
2019,higrade,Highest Level of Education among Reported Adults
2020,higrade,Highest Level of Education among Reported Adults
2021,higrade,Highest Level of Education among Reported Adults
2022,higrade,Highest Level of Education among Reported Adults
2016,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2017,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2018,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2019,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2020,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2021,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2022,higrade_tvis,"Highest Level of Education among Reported Adults, Detail"
2022,homeevic,Worried about Being Evicted 
2016,hopeful,Facing Problems - How Often Stay Hopeful
2017,hopeful,Facing Problems - How Often Stay Hopeful
2018,hopeful,Facing Problems - How Often Stay Hopeful
2019,hopeful,Facing Problems - How Often Stay Hopeful
2020,hopeful,Facing Problems - How Often Stay Hopeful
2021,hopeful,Facing Problems - How Often Stay Hopeful
2022,hopeful,Facing Problems - How Often Stay Hopeful
2016,hospitaler,Hospital Emergency Room Visits
2017,hospitaler,Hospital Emergency Room Visits
2018,hospitaler,Hospital Emergency Room Visits
2019,hospitaler,Hospital Emergency Room Visits
2020,hospitaler,Hospital Emergency Room Visits
2021,hospitaler,Hospital Emergency Room Visits
2022,hospitaler,Hospital Emergency Room Visits
2018,hospitalstay,Admitted to Hospital
2019,hospitalstay,Admitted to Hospital
2020,hospitalstay,Admitted to Hospital
2021,hospitalstay,Admitted to Hospital
2022,hospitalstay,Admitted to Hospital
2016,hoursleep,Past Week - How Many Hours of Sleep Average
2017,hoursleep,Past Week - How Many Hours of Sleep Average
