variable,desc,n.desc,n.unique,col.type,%NA.2016,%NA.2017,%NA.2018,%NA.2019,%NA.2020,%NA.2021,%NA.2022,diff2017.2016
hhcount,Number of People Living at Address,1,12,numeric,3.65848801083406,0,0,0,0,0,0,-3.65848801083406
k2q35a_1_years,Autism ASD - First Told Age in Years,2,16,numeric,97.7256432725245,97.3285800268531,97.4582377988864,97.2819624231305,97.2929377936742,97.2176373496817,96.7210690719553,-0.397063245671404
k11q43r,How Many Times Moved to New Address,1,17,numeric,4.31171831434717,2.14824760405574,2.30592859482476,2.37488533278973,2.56212450615985,3.04959522125285,2.96471545015988,-2.16347071029142
sc_age_years,Age of Selected Child - In Years,1,18,numeric,0,0,0,0,0,0,0,0
momage,Age of Mother - Years,1,29,numeric,5.63411136780053,2.64827075327561,2.2895512610547,2.2525736418306,2.16471468312411,1.87652283266525,1.88898951998965,-2.98584061452491
fipsst,State FIPS Code,1,51,numeric,0,0,0,0,0,0,0,0
state,,,51,numeric,0,0,0,0,0,0,0,0
a1_age,Adult 1 - Age in Years,1,59,numeric,2.47351230781486,1.92601509329136,2.10612512283,2.3545000509632,3.0296654744372,3.15766721685137,3.12736816812376,-0.547497214523509
a2_age,Adult 2 - Age in Years,1,59,numeric,14.3790329005019,13.6487800361128,16.9177857844743,16.1689260354024,19.1060616686537,17.9596007230999,18.2984307709369,-0.730252864389088
fpl_i1,"Family Poverty Ratio, First Implicate",1,351,numeric,0,0,0,0,0,0,0,0
fwc,Selected Child Weight,1,246159,numeric,0,0,0,0,0,0,0,0
hhid,Unique Household ID,2,279546,numeric,0,0,0,0,0,0,0,0
